AnimalID,features_values_dog,gp1,gp2
A676515,Pit Bull Mix,Mix,Pit Bull
A671482,Chihuahua Shorthair Mix,Mix,Toy
A667002,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A691012,Staffordshire Mix,Mix,Terrier
A692376,German Shepherd/Labrador Retriever,Herding,Sporting
A710352,Chihuahua Shorthair Mix,Mix,Toy
A695438,Australian Kelpie Mix,Mix,Working
A706503,Pit Bull Mix,Mix,Pit Bull
A683317,Chihuahua Shorthair Mix,Mix,Toy
A669942,Australian Shepherd Mix,Mix,Herding
A698677,Dachshund Mix,Mix,Hound
A695692,Australian Cattle Dog/Cardigan Welsh Corgi,Herding,Herding
A698642,American Bulldog,Non-Sporting,Non-Sporting
A573141,Dogo Argentino Mix,Unknown,Mix
A698527,Staffordshire Mix,Mix,Terrier
A695364,Pit Bull Mix,Mix,Pit Bull
A682577,Miniature Poodle Mix,Non-Sporting,Mix
A678082,German Shepherd Mix,Mix,Herding
A596406,Labrador Retriever,Sporting,Sporting
A665975,Catahoula,Herding,Herding
A698188,Rat Terrier Mix,Mix,Terrier
A717947,Cairn Terrier Mix,Mix,Terrier
A716250,Staffordshire Mix,Mix,Terrier
A709846,Australian Shepherd Mix,Mix,Herding
A664489,Labrador Retriever Mix,Mix,Sporting
A696632,English Bulldog,Non-Sporting,Non-Sporting
A698827,Dachshund/Chihuahua Shorthair,Toy,Hound
A718550,Rat Terrier Mix,Mix,Terrier
A703478,German Shepherd Mix,Mix,Herding
A710317,German Shepherd Mix,Mix,Herding
A672214,Labrador Retriever/Border Collie,Sporting,Herding
A701606,Siberian Husky,Working,Working
A634845,Pit Bull Mix,Mix,Pit Bull
A716381,Great Pyrenees Mix,Mix,Working
A712991,Finnish Spitz Mix,Non-Sporting,Mix
A665909,Miniature Pinscher Mix,Mix,Toy
A688863,Pit Bull Mix,Mix,Pit Bull
A704670,Dachshund Wirehair Mix,Mix,Hound
A669709,Australian Cattle Dog Mix,Mix,Herding
A689294,Dachshund Longhair/Cairn Terrier,Hound,Terrier
A691382,Labrador Retriever,Sporting,Sporting
A718151,Boxer/Harrier,Hound,Working
A690419,Jack Russell Terrier,Unknown,Unknown
A710158,Labrador Retriever Mix,Mix,Sporting
A712651,Dachshund Mix,Mix,Hound
A694309,Pit Bull Mix,Mix,Pit Bull
A689398,American Bulldog Mix,Non-Sporting,Mix
A718986,Labrador Retriever Mix,Mix,Sporting
A703506,Pit Bull Mix,Mix,Pit Bull
A673314,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A663954,Pit Bull Mix,Mix,Pit Bull
A698943,Dachshund/Chihuahua Shorthair,Toy,Hound
A659891,Chihuahua Shorthair Mix,Mix,Toy
A676781,Chihuahua Shorthair/Jack Russell Terrier,Unknown,Toy
A666931,Pit Bull Mix,Mix,Pit Bull
A690676,American Staffordshire Terrier Mix,Mix,Terrier
A702079,Carolina Dog Mix,Unknown,Mix
A670784,Siberian Husky Mix,Mix,Working
A672019,American Staffordshire Terrier Mix,Mix,Terrier
A675695,Siberian Husky Mix,Mix,Working
A632870,Maltese/Yorkshire,Unknown,Toy
A702622,German Shepherd Mix,Mix,Herding
A676539,Catahoula/Plott Hound,Herding,Hound
A689529,Boxer Mix,Mix,Working
A692687,Italian Greyhound Mix,Mix,Toy
A715770,Chihuahua Shorthair Mix,Mix,Toy
A698119,Labrador Retriever Mix,Mix,Sporting
A697579,Labrador Retriever/Jack Russell Terrier,Unknown,Sporting
A717777,Leonberger,Working,Working
A717127,Boxer Mix,Mix,Working
A707175,Australian Cattle Dog Mix,Mix,Herding
A696993,Miniature Poodle Mix,Non-Sporting,Mix
A563492,Chihuahua Shorthair Mix,Mix,Toy
A717069,Boxer/Labrador Retriever,Sporting,Working
A713988,Dachshund Wirehair/Chihuahua Shorthair,Toy,Hound
A686785,Queensland Heeler Mix,Mix,Herding
A688196,Jack Russell Terrier Mix,Unknown,Mix
A673903,Cocker Spaniel Mix,Mix,Sporting
A691191,Chihuahua Shorthair Mix,Mix,Toy
A670895,Skye Terrier/Miniature Poodle,Non-Sporting,Terrier
A689792,Black Mouth Cur Mix,Mix,Herding
A595363,Dachshund/Chihuahua Shorthair,Toy,Hound
A680111,Pit Bull Mix,Mix,Pit Bull
A671399,Pit Bull Mix,Mix,Pit Bull
A719550,German Shepherd Mix,Mix,Herding
A657415,Bull Terrier Mix,Mix,Terrier
A690961,German Shepherd/Catahoula,Herding,Herding
A668772,German Shepherd Mix,Mix,Herding
A707744,Great Pyrenees/Labrador Retriever,Sporting,Working
A704075,Labrador Retriever/Great Pyrenees,Sporting,Working
A705383,Cocker Spaniel/Chihuahua Longhair,Sporting,Toy
A700383,Dachshund Mix,Mix,Hound
A582082,Dachshund/Manchester Terrier,Hound,Terrier
A683892,Queensland Heeler/Border Collie,Herding,Herding
A642922,Blue Lacy/Great Dane,Herding,Working
A694639,Pit Bull Mix,Mix,Pit Bull
A661878,Chihuahua Shorthair Mix,Mix,Toy
A674771,Chihuahua Shorthair Mix,Mix,Toy
A666845,Miniature Poodle Mix,Non-Sporting,Mix
A680679,Chihuahua Shorthair Mix,Mix,Toy
A530589,Labrador Retriever Mix,Mix,Sporting
A649685,Chihuahua Shorthair Mix,Mix,Toy
A695404,Rottweiler/German Shepherd,Herding,Working
A717665,Boxer/Chinese Sharpei,Non-Sporting,Working
A687441,English Bulldog Mix,Non-Sporting,Mix
A720563,Chihuahua Shorthair Mix,Mix,Toy
A686149,Shih Tzu Mix,Mix,Toy
A673087,Yorkshire Terrier Mix,Mix,Toy
A699232,Labrador Retriever Mix,Mix,Sporting
A704676,Dachshund Wirehair/Miniature Poodle,Non-Sporting,Hound
A663299,Pit Bull Mix,Mix,Pit Bull
A681592,English Coonhound/Italian Greyhound,Toy,Hound
A689527,Great Pyrenees Mix,Mix,Working
A717606,Wire Hair Fox Terrier Mix,Unknown,Mix
A686866,Chihuahua Shorthair Mix,Mix,Toy
A667242,Schipperke Mix,Non-Sporting,Mix
A688133,Pit Bull Mix,Mix,Pit Bull
A707958,Chihuahua Shorthair Mix,Mix,Toy
A700278,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A669581,Chihuahua Shorthair Mix,Mix,Toy
A616584,Pit Bull Mix,Mix,Pit Bull
A689251,Pit Bull Mix,Mix,Pit Bull
A693639,Pit Bull Mix,Mix,Pit Bull
A689746,Pit Bull Mix,Mix,Pit Bull
A683803,Border Collie/Great Pyrenees,Herding,Working
A673911,Dachshund Longhair/Australian Shepherd,Herding,Hound
A705326,Pit Bull Mix,Mix,Pit Bull
A710031,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A678251,Chihuahua Shorthair Mix,Mix,Toy
A639465,Keeshond Mix,Non-Sporting,Mix
A702141,Alaskan Husky/Australian Shepherd,Unknown,Herding
A675578,Pit Bull Mix,Mix,Pit Bull
A519888,Labrador Retriever/Beagle,Sporting,Hound
A702249,Pit Bull Mix,Mix,Pit Bull
A633870,Blue Lacy Mix,Mix,Herding
A700221,Dalmatian Mix,Non-Sporting,Mix
A689734,American Bulldog Mix,Non-Sporting,Mix
A684937,Pit Bull Mix,Mix,Pit Bull
A549639,Pit Bull Mix,Mix,Pit Bull
A689945,Pit Bull Mix,Mix,Pit Bull
A689869,Cairn Terrier Mix,Mix,Terrier
A681567,Dachshund Mix,Mix,Hound
A694000,Beagle/Chihuahua Shorthair,Toy,Hound
A693790,Labrador Retriever Mix,Mix,Sporting
A665568,Chihuahua Shorthair,Toy,Toy
A700332,Dachshund,Hound,Hound
A672451,German Shepherd Mix,Mix,Herding
A699283,Chihuahua Shorthair Mix,Mix,Toy
A684076,German Shepherd,Herding,Herding
A691328,Norfolk Terrier/Dachshund Wirehair,Hound,Terrier
A712687,Dachshund Mix,Mix,Hound
A485940,Labrador Retriever Mix,Mix,Sporting
A617090,Chihuahua Shorthair Mix,Mix,Toy
A718504,Labrador Retriever Mix,Mix,Sporting
A628319,Pit Bull Mix,Mix,Pit Bull
A699771,Shih Tzu Mix,Mix,Toy
A682977,German Shepherd/Labrador Retriever,Herding,Sporting
A695669,American Pit Bull Terrier Mix,Unknown,Mix
A703412,German Wirehaired Pointer Mix,Unknown,Mix
A655860,Great Pyrenees Mix,Mix,Working
A678920,Chihuahua Shorthair/Miniature Pinscher,Toy,Toy
A683822,Chihuahua Longhair Mix,Mix,Toy
A667898,Chihuahua Shorthair,Toy,Toy
A717489,German Shepherd Mix,Mix,Herding
A619861,Pit Bull/Boxer,Pit Bull,Working
A673056,Rottweiler Mix,Mix,Working
A680676,Labrador Retriever Mix,Mix,Sporting
A661150,Australian Cattle Dog Mix,Mix,Herding
A665570,Pit Bull Mix,Mix,Pit Bull
A703094,Chow Chow Mix,Non-Sporting,Mix
A680331,Tibetan Spaniel Mix,Non-Sporting,Mix
A713259,Chihuahua Shorthair,Toy,Toy
A694880,Labrador Retriever/Siberian Husky,Sporting,Working
A666322,Chihuahua Shorthair Mix,Mix,Toy
A719019,Miniature Poodle Mix,Non-Sporting,Mix
A536035,Rottweiler/Labrador Retriever,Sporting,Working
A714015,Chihuahua Shorthair Mix,Mix,Toy
A711130,Pit Bull Mix,Mix,Pit Bull
A718281,Pit Bull Mix,Mix,Pit Bull
A676265,Labrador Retriever,Sporting,Sporting
A718036,German Shepherd,Herding,Herding
A692548,Pit Bull Mix,Mix,Pit Bull
A689410,Pit Bull Mix,Mix,Pit Bull
A541397,Chow Chow Mix,Non-Sporting,Mix
A667105,Dachshund,Hound,Hound
A696611,Australian Kelpie Mix,Mix,Working
A714744,Black Mouth Cur/Boxer,Herding,Working
A678864,Cairn Terrier Mix,Mix,Terrier
A700228,Pit Bull Mix,Mix,Pit Bull
A698545,Miniature Schnauzer Mix,Mix,Terrier
A720500,Cairn Terrier Mix,Mix,Terrier
A670191,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A698589,Labrador Retriever Mix,Mix,Sporting
A692362,Yorkshire Terrier Mix,Mix,Toy
A694004,Anatol Shepherd/Catahoula,Mix,Herding
A697180,Shih Tzu Mix,Mix,Toy
A717522,Labrador Retriever Mix,Mix,Sporting
A691533,Australian Cattle Dog Mix,Mix,Herding
A702041,Chihuahua Shorthair/Beagle,Hound,Toy
A701553,Pit Bull Mix,Mix,Pit Bull
A690472,Rat Terrier/Beagle,Hound,Terrier
A703784,Border Collie Mix,Mix,Herding
A714106,Pit Bull Mix,Mix,Pit Bull
A675579,Pit Bull Mix,Mix,Pit Bull
A666152,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A684578,American Pit Bull Terrier Mix,Unknown,Mix
A675886,Labrador Retriever Mix,Mix,Sporting
A700366,Labrador Retriever Mix,Mix,Sporting
A701813,Chihuahua Shorthair Mix,Mix,Toy
A706884,Chihuahua Shorthair Mix,Mix,Toy
A675033,Miniature Schnauzer/Miniature Poodle,Non-Sporting,Terrier
A688465,German Shepherd Mix,Mix,Herding
A692416,Pit Bull Mix,Mix,Pit Bull
A676661,Australian Shepherd Mix,Mix,Herding
A676755,Rat Terrier Mix,Mix,Terrier
A607523,American Bulldog Mix,Non-Sporting,Mix
A655902,Pit Bull Mix,Mix,Pit Bull
A693798,Labrador Retriever Mix,Mix,Sporting
A714379,Siberian Husky Mix,Mix,Working
A701913,American Staffordshire Terrier Mix,Mix,Terrier
A657358,Chihuahua Shorthair Mix,Mix,Toy
A671487,Dachshund Mix,Mix,Hound
A697188,Pit Bull Mix,Mix,Pit Bull
A701460,Pit Bull Mix,Mix,Pit Bull
A648630,Catahoula Mix,Mix,Herding
A711894,Labrador Retriever Mix,Mix,Sporting
A676201,Golden Retriever/Standard Poodle,Non-Sporting,Sporting
A665970,Chihuahua Shorthair Mix,Mix,Toy
A718400,Labrador Retriever Mix,Mix,Sporting
A687358,Chihuahua Shorthair/Beagle,Hound,Toy
A683051,Chihuahua Shorthair Mix,Mix,Toy
A666401,Chihuahua Shorthair Mix,Mix,Toy
A668301,Flat Coat Retriever Mix,Mix,Sporting
A704249,Toy Poodle Mix,Mix,Toy
A699755,Chihuahua Shorthair Mix,Mix,Toy
A715193,Rhod Ridgeback Mix,Mix,Hound
A692941,Great Pyrenees Mix,Mix,Working
A706181,Pit Bull Mix,Mix,Pit Bull
A710424,Chihuahua Shorthair Mix,Mix,Toy
A700622,Rottweiler/German Shepherd,Herding,Working
A688308,Australian Cattle Dog/Catahoula,Herding,Herding
A362103,Cardigan Welsh Corgi Mix,Mix,Herding
A706578,Labrador Retriever Mix,Mix,Sporting
A427782,Pit Bull,Pit Bull,Pit Bull
A709477,Pit Bull Mix,Mix,Pit Bull
A701995,Labrador Retriever/German Shepherd,Sporting,Herding
A663983,Miniature Pinscher Mix,Mix,Toy
A715489,Miniature Pinscher Mix,Mix,Toy
A691239,Dachshund Mix,Mix,Hound
A669960,Pit Bull Mix,Mix,Pit Bull
A718993,Miniature Poodle Mix,Non-Sporting,Mix
A698756,Doberman Pinsch Mix,Mix,Working
A682365,Soft Coated Wheaten Terrier Mix,Unknown,Mix
A706880,Labrador Retriever Mix,Mix,Sporting
A531379,Miniature Poodle Mix,Non-Sporting,Mix
A664668,Australian Cattle Dog Mix,Mix,Herding
A679467,Siberian Husky Mix,Mix,Working
A666120,Labrador Retriever/Boston Terrier,Non-Sporting,Sporting
A715683,Pit Bull Mix,Mix,Pit Bull
A663968,American Bulldog Mix,Non-Sporting,Mix
A608475,Staffordshire Mix,Mix,Terrier
A704690,Labrador Retriever Mix,Mix,Sporting
A700248,Labrador Retriever Mix,Mix,Sporting
A675635,Dachshund Mix,Mix,Hound
A714665,Chihuahua Shorthair Mix,Mix,Toy
A718363,Cardigan Welsh Corgi/Chihuahua Shorthair,Herding,Toy
A698437,Toy Fox Terrier Mix,Mix,Toy
A713481,Welsh Springer Spaniel,Sporting,Sporting
A674368,Chihuahua Shorthair/Rat Terrier,Toy,Terrier
A669896,Labrador Retriever Mix,Mix,Sporting
A615152,Labrador Retriever/Boxer,Sporting,Working
A668000,Entlebucher Mix,Unknown,Mix
A705027,Rat Terrier Mix,Mix,Terrier
A678283,Miniature Poodle Mix,Non-Sporting,Mix
A667633,Chihuahua Shorthair Mix,Mix,Toy
A713008,West Highland Mix,Unknown,Mix
A665498,Collie Smooth Mix,Mix,Herding
A702134,Border Collie Mix,Mix,Herding
A718992,Miniature Poodle Mix,Non-Sporting,Mix
A666337,Labrador Retriever/Beagle,Sporting,Hound
A667397,Chihuahua Shorthair,Toy,Toy
A688025,Toy Poodle Mix,Mix,Toy
A666442,Australian Cattle Dog Mix,Mix,Herding
A675223,Cavalier Span Mix,Unknown,Mix
A710258,German Shepherd/Labrador Retriever,Herding,Sporting
A698665,Chihuahua Longhair Mix,Mix,Toy
A679845,Chihuahua Shorthair Mix,Mix,Toy
A713355,Chow Chow Mix,Non-Sporting,Mix
A686152,Pit Bull Mix,Mix,Pit Bull
A678286,Chihuahua Shorthair/Cairn Terrier,Toy,Terrier
A684766,Dachshund/Australian Cattle Dog,Herding,Hound
A664138,Dachshund Mix,Mix,Hound
A661068,Rat Terrier Mix,Mix,Terrier
A641781,Labrador Retriever/Pointer,Sporting,Sporting
A713293,Labrador Retriever/Chinese Sharpei,Non-Sporting,Sporting
A704813,Pit Bull Mix,Mix,Pit Bull
A689064,Flat Coat Retriever/Pit Bull,Sporting,Pit Bull
A708116,Australian Cattle Dog Mix,Mix,Herding
A680808,Black Mouth Cur Mix,Mix,Herding
A634925,Pit Bull Mix,Mix,Pit Bull
A686610,German Shepherd Mix,Mix,Herding
A713404,Yorkshire Terrier Mix,Mix,Toy
A694967,Siberian Husky Mix,Mix,Working
A691564,Pit Bull Mix,Mix,Pit Bull
A690356,German Shepherd/Black/Tan Hound,Herding,Hound
A443497,Pit Bull Mix,Mix,Pit Bull
A691724,Chihuahua Shorthair Mix,Mix,Toy
A679836,Shih Tzu Mix,Mix,Toy
A695972,Plott Hound Mix,Mix,Hound
A715990,Australian Cattle Dog Mix,Mix,Herding
A678557,Miniature Pinscher/Chihuahua Shorthair,Toy,Toy
A680162,Australian Cattle Dog Mix,Mix,Herding
A709312,Miniature Schnauzer Mix,Mix,Terrier
A621530,Dachshund Mix,Mix,Hound
A689774,Beagle Mix,Mix,Hound
A714078,German Shepherd Mix,Mix,Herding
A676713,Chihuahua Shorthair Mix,Mix,Toy
A706967,Australian Cattle Dog Mix,Mix,Herding
A695280,German Shepherd,Herding,Herding
A694730,Chihuahua Shorthair Mix,Mix,Toy
A715583,Harrier Mix,Mix,Hound
A708902,Catahoula Mix,Mix,Herding
A668452,Standard Poodle,Non-Sporting,Non-Sporting
A692209,Boxer Mix,Mix,Working
A689465,Australian Cattle Dog Mix,Mix,Herding
A701463,Rottweiler Mix,Mix,Working
A674236,Boxer Mix,Mix,Working
A717895,Shih Tzu Mix,Mix,Toy
A651130,Golden Retriever/Chow Chow,Non-Sporting,Sporting
A716789,Dalmatian Mix,Non-Sporting,Mix
A699697,Lhasa Apso/West Highland,Non-Sporting,Unknown
A674423,Pointer/American Pit Bull Terrier,Unknown,Sporting
A666094,Beagle/Cocker Spaniel,Sporting,Hound
A689039,Pit Bull Mix,Mix,Pit Bull
A681416,Anatol Shepherd Mix,Mix,Herding
A663388,Border Collie Mix,Mix,Herding
A702544,Beagle/Black Mouth Cur,Herding,Hound
A712292,Chihuahua Shorthair Mix,Mix,Toy
A690953,Chihuahua Longhair Mix,Mix,Toy
A696391,Labrador Retriever Mix,Mix,Sporting
A686232,Carolina Dog Mix,Unknown,Mix
A704493,Labrador Retriever/Plott Hound,Sporting,Hound
A674571,Carolina Dog Mix,Unknown,Mix
A715012,Miniature Schnauzer Mix,Mix,Terrier
A701305,Border Collie Mix,Mix,Herding
A674023,Chihuahua Shorthair Mix,Mix,Toy
A659036,Labrador Retriever Mix,Mix,Sporting
A705687,Lhasa Apso Mix,Non-Sporting,Mix
A640790,Labrador Retriever Mix,Mix,Sporting
A701336,Cairn Terrier Mix,Mix,Terrier
A680288,Manchester Terrier Mix,Mix,Terrier
A693346,German Shepherd Mix,Mix,Herding
A702554,Australian Shepherd Mix,Mix,Herding
A714707,Labrador Retriever/German Shepherd,Sporting,Herding
A719466,Australian Kelpie Mix,Mix,Working
A673530,Chihuahua Shorthair Mix,Mix,Toy
A688996,Golden Retriever Mix,Mix,Sporting
A713047,Labrador Retriever Mix,Mix,Sporting
A693240,German Shepherd Mix,Mix,Herding
A665685,Chihuahua Shorthair Mix,Mix,Toy
A695637,English Coonhound/Border Collie,Herding,Hound
A717911,Chesa Bay Retr Mix,Unknown,Mix
A674157,Plott Hound/Labrador Retriever,Sporting,Hound
A673245,Pit Bull Mix,Mix,Pit Bull
A685314,Bull Terrier Mix,Mix,Terrier
A663921,Labrador Retriever/German Shepherd,Sporting,Herding
A682673,Golden Retriever Mix,Mix,Sporting
A708968,Boston Terrier Mix,Non-Sporting,Mix
A690452,Border Collie Mix,Mix,Herding
A698771,American Bulldog/Schnauzer Giant,Non-Sporting,Unknown
A690732,Dogo Argentino/Labrador Retriever,Unknown,Sporting
A697217,Chihuahua Shorthair Mix,Mix,Toy
A685629,Boston Terrier Mix,Non-Sporting,Mix
A669943,German Shepherd,Herding,Herding
A697609,Siberian Husky,Working,Working
A710737,Queensland Heeler Mix,Mix,Herding
A708631,Labrador Retriever Mix,Mix,Sporting
A702953,Labrador Retriever Mix,Mix,Sporting
A697015,Miniature Schnauzer Mix,Mix,Terrier
A717881,Dachshund Wirehair Mix,Mix,Hound
A670972,Rat Terrier Mix,Mix,Terrier
A704180,Chow Chow/Pit Bull,Non-Sporting,Pit Bull
A680739,Pit Bull Mix,Mix,Pit Bull
A677163,Dachshund Wirehair Mix,Mix,Hound
A625782,Labrador Retriever Mix,Mix,Sporting
A693561,German Shepherd Mix,Mix,Herding
A711696,Beagle Mix,Mix,Hound
A677036,Miniature Schnauzer Mix,Mix,Terrier
A698511,Chihuahua Shorthair Mix,Mix,Toy
A691793,German Shepherd/Great Dane,Herding,Working
A585692,Labrador Retriever Mix,Mix,Sporting
A681351,Pit Bull Mix,Mix,Pit Bull
A675362,Labrador Retriever Mix,Mix,Sporting
A680143,Labrador Retriever Mix,Mix,Sporting
A695574,Shih Tzu Mix,Mix,Toy
A676623,English Pointer Mix,Unknown,Mix
A699973,Miniature Schnauzer/Miniature Poodle,Non-Sporting,Terrier
A694931,Australian Shepherd Mix,Mix,Herding
A701653,Pit Bull Mix,Mix,Pit Bull
A688022,Australian Kelpie Mix,Mix,Working
A688136,Pit Bull Mix,Mix,Pit Bull
A666518,American Pit Bull Terrier Mix,Unknown,Mix
A621641,Chihuahua Longhair Mix,Mix,Toy
A686398,Plott Hound Mix,Mix,Hound
A689342,Labrador Retriever Mix,Mix,Sporting
A710024,Weimaraner/Pit Bull,Sporting,Pit Bull
A515347,Pekingese Mix,Mix,Toy
A713264,Rottweiler,Working,Working
A687870,Basset Hound/English Pointer,Unknown,Hound
A668441,Labrador Retriever Mix,Mix,Sporting
A672599,Vizsla/Golden Retriever,Sporting,Sporting
A671743,Pit Bull Mix,Mix,Pit Bull
A717331,Labrador Retriever Mix,Mix,Sporting
A720526,Labrador Retriever Mix,Mix,Sporting
A692404,Chihuahua Shorthair Mix,Mix,Toy
A702494,Labrador Retriever Mix,Mix,Sporting
A710027,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A686372,Staffordshire Mix,Mix,Terrier
A664378,Chinese Sharpei,Non-Sporting,Non-Sporting
A716840,Border Collie,Herding,Herding
A694195,Chihuahua Shorthair Mix,Mix,Toy
A687721,Dachshund Longhair Mix,Mix,Hound
A701911,Great Pyrenees Mix,Mix,Working
A699653,Beagle/Dachshund,Hound,Hound
A712602,Chinese Sharpei Mix,Non-Sporting,Mix
A706609,Australian Shepherd Mix,Mix,Herding
A632706,Yorkshire Terrier Mix,Mix,Toy
A718971,Yorkshire Terrier Mix,Mix,Toy
A687916,American Bulldog/Labrador Retriever,Non-Sporting,Sporting
A712617,Chihuahua Shorthair Mix,Mix,Toy
A675363,Labrador Retriever Mix,Mix,Sporting
A689974,Labrador Retriever Mix,Mix,Sporting
A682178,Chesa Bay Retr Mix,Unknown,Mix
A708389,Labrador Retriever/Border Collie,Sporting,Herding
A698644,Anatol Shepherd/Redbone Hound,Mix,Herding
A712354,German Shepherd Mix,Mix,Herding
A702302,Chihuahua Shorthair/Dachshund,Hound,Toy
A693863,Labrador Retriever Mix,Mix,Sporting
A634147,Dachshund Mix,Mix,Hound
A689553,Pembroke Welsh Corgi,Herding,Herding
A718291,Chihuahua Shorthair Mix,Mix,Toy
A657903,Whippet Mix,Mix,Hound
A705636,Boxer Mix,Mix,Working
A687036,Labrador Retriever Mix,Mix,Sporting
A699517,Yorkshire Terrier Mix,Mix,Toy
A684408,Catahoula Mix,Mix,Herding
A711054,Manchester Terrier/Dachshund,Hound,Terrier
A570239,Pit Bull,Pit Bull,Pit Bull
A678047,American Pit Bull Terrier,Unknown,Unknown
A710518,Australian Cattle Dog Mix,Mix,Herding
A694178,Border Collie/Queensland Heeler,Herding,Herding
A710470,Jack Russell Terrier/Pointer,Unknown,Sporting
A665560,Chihuahua Shorthair Mix,Mix,Toy
A694406,Pit Bull Mix,Mix,Pit Bull
A664659,Chihuahua Longhair Mix,Mix,Toy
A673581,Border Collie Mix,Mix,Herding
A679665,German Shepherd Mix,Mix,Herding
A681145,Catahoula Mix,Mix,Herding
A714224,Australian Cattle Dog/Beagle,Herding,Hound
A608937,Pit Bull Mix,Mix,Pit Bull
A681796,Australian Cattle Dog Mix,Mix,Herding
A706461,Pit Bull Mix,Mix,Pit Bull
A699554,Lhasa Apso Mix,Non-Sporting,Mix
A704592,Pit Bull Mix,Mix,Pit Bull
A703482,Beagle Mix,Mix,Hound
A663987,Pit Bull Mix,Mix,Pit Bull
A692468,Chihuahua Shorthair/Dachshund,Hound,Toy
A687302,Australian Cattle Dog,Herding,Herding
A700995,Great Pyrenees Mix,Mix,Working
A694073,Golden Retriever Mix,Mix,Sporting
A694346,Doberman Pinsch Mix,Mix,Working
A714040,Chihuahua Shorthair Mix,Mix,Toy
A684975,German Shepherd/Chow Chow,Non-Sporting,Herding
A701236,Pit Bull Mix,Mix,Pit Bull
A696682,Labrador Retriever Mix,Mix,Sporting
A699901,Chihuahua Shorthair Mix,Mix,Toy
A707508,Australian Cattle Dog/Chow Chow,Non-Sporting,Herding
A686899,American Bulldog Mix,Non-Sporting,Mix
A672241,Dogo Argentino Mix,Unknown,Mix
A691692,Pit Bull Mix,Mix,Pit Bull
A684426,Basset Hound Mix,Mix,Hound
A679650,Chihuahua Shorthair Mix,Mix,Toy
A650908,Boxer/Redbone Hound,Hound,Working
A674126,Dachshund Mix,Mix,Hound
A708148,German Shepherd Mix,Mix,Herding
A664921,Labrador Retriever Mix,Mix,Sporting
A667383,Pit Bull Mix,Mix,Pit Bull
A674047,German Shepherd Mix,Mix,Herding
A687460,Labrador Retriever/Plott Hound,Sporting,Hound
A668416,Labrador Retriever Mix,Mix,Sporting
A711005,Chihuahua Longhair Mix,Mix,Toy
A679200,Belgian Malinois Mix,Mix,Herding
A673174,English Bulldog,Non-Sporting,Non-Sporting
A668737,Jack Russell Terrier Mix,Unknown,Mix
A709588,Collie Rough Mix,Mix,Herding
A712630,Havanese Mix,Mix,Toy
A716510,Pit Bull Mix,Mix,Pit Bull
A607134,Chihuahua Shorthair Mix,Mix,Toy
A671649,Labrador Retriever Mix,Mix,Sporting
A656477,Rottweiler Mix,Mix,Working
A689697,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A673654,Chihuahua Shorthair Mix,Mix,Toy
A699945,Miniature Poodle Mix,Non-Sporting,Mix
A696035,Pit Bull Mix,Mix,Pit Bull
A690165,Plott Hound Mix,Mix,Hound
A708859,Pit Bull/Chinese Sharpei,Non-Sporting,Pit Bull
A677321,Chow Chow/Labrador Retriever,Non-Sporting,Sporting
A670171,Basset Hound,Hound,Hound
A718096,Pit Bull Mix,Mix,Pit Bull
A468026,Pit Bull Mix,Mix,Pit Bull
A703070,Blue Lacy Mix,Mix,Herding
A709677,Chihuahua Shorthair/Boston Terrier,Non-Sporting,Toy
A672150,Chihuahua Shorthair Mix,Mix,Toy
A703461,Miniature Schnauzer Mix,Mix,Terrier
A677785,Chihuahua Shorthair Mix,Mix,Toy
A681060,Labrador Retriever Mix,Mix,Sporting
A687000,Cairn Terrier Mix,Mix,Terrier
A663436,Border Collie/Labrador Retriever,Herding,Sporting
A702619,Chihuahua Shorthair Mix,Mix,Toy
A683765,Labrador Retriever Mix,Mix,Sporting
A696586,Australian Shepherd Mix,Mix,Herding
A665218,German Shepherd,Herding,Herding
A676663,Chihuahua Shorthair Mix,Mix,Toy
A676777,Dutch Shepherd Mix,Mix,Herding
A689959,Boxer Mix,Mix,Working
A668961,Cairn Terrier Mix,Mix,Terrier
A711385,Siberian Husky/German Shepherd,Herding,Working
A676445,Pit Bull Mix,Mix,Pit Bull
A693049,Boxer Mix,Mix,Working
A666099,Labrador Retriever Mix,Mix,Sporting
A688934,Rottweiler Mix,Mix,Working
A686140,German Shepherd/Border Collie,Herding,Herding
A620531,Pit Bull Mix,Mix,Pit Bull
A669874,Chihuahua Shorthair Mix,Mix,Toy
A715025,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A716063,Miniature Poodle Mix,Non-Sporting,Mix
A675430,Labrador Retriever/Pointer,Sporting,Sporting
A706658,Chihuahua Shorthair Mix,Mix,Toy
A670253,Australian Cattle Dog/Rat Terrier,Herding,Terrier
A694672,Labrador Retriever,Sporting,Sporting
A702701,Miniature Pinscher Mix,Mix,Toy
A687698,Labrador Retriever Mix,Mix,Sporting
A705471,Basset Hound/Labrador Retriever,Sporting,Hound
A697352,Chihuahua Shorthair/Miniature Pinscher,Toy,Toy
